Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Color (product.metafields.shopify.color-pattern),Size (product.metafields.shopify.size),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status
fabric-flower-and-beads-toran,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2023-09-30at14.36.44_1.jpg?v=1729223737,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parrot-and-beads-toran,Parrot and Beads Toran,"<p><span class=""s1""></span><br></p>",Kalyan Kreations,Home & Garden > Decor,"","",true,Title,Default Title,,,,,,,,'495,0.0,shopify,deny,manual,22.50,,true,true,,https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2023-09-30at14.34.13.jpg?v=1729223520,1,"",false,,,,,,,,,,,,,,,,,,,,,lb,,4.06,true,,,true,,,active
parrot-and-beads-toran,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2023-09-30at14.34.14.jpg?v=1729223520,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parrot-and-beads-toran,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2023-09-30at14.34.14_2.jpg?v=1729223520,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parrot-and-beads-toran,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2023-09-30at14.34.14_1.jpg?v=1729223520,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fancy-plastic-toran,Fancy Plastic Toran,"<p><span class=""s1""></span><br></p>",Kalyan Kreations,Home & Garden > Decor,"","",true,Title,Default Title,,,,,,,,'494,0.0,shopify,deny,manual,15.00,,true,true,,https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2023-09-30at14.31.12.jpg?v=1729223340,1,"",false,,,,,,,,,,,,,,,,,,,,,lb,,3.13,true,,,true,,,active
fancy-plastic-toran,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2023-09-30at14.31.12_1.jpg?v=1729223340,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fancy-plastic-toran,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2023-09-30at14.31.12_2.jpg?v=1729223340,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fancy-plastic-toran,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2023-09-30at14.31.12_3.jpg?v=1729223340,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ganapati-toran,Ganapati Toran,"<p><span class=""s1""></span><br></p>",Kalyan Kreations,Home & Garden > Decor,"","",true,Title,Default Title,,,,,,,,'493,0.0,shopify,deny,manual,22.50,,true,true,,https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2023-09-30at14.29.24.jpg?v=1729223177,1,"",false,,,,,,,,,,,,,,,,,,,,,lb,,4.06,true,,,true,,,active
ganapati-toran,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2023-09-30at14.29.24_1.jpg?v=1729223177,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ganapati-toran,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0681/8093/4972/files/WhatsAppImage2023-09-30at14.29.24_2.jpg?v=1729223177,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
